"ID","Task","Session","N.Sessions","Trial","Stimulus","Continuum","Step","VOT","Response"
"TIMETIME.002","Ganong",1,2,15,"gift_06","gift",6,42,0
"TIMETIME.002","Ganong",1,2,16,"giss_10","giss",10,68,1
"TIMETIME.002","Ganong",1,2,17,"giss_05","giss",5,36,0
"TIMETIME.002","Ganong",1,2,18,"giss_11","giss",11,74,1
"TIMETIME.002","Ganong",1,2,19,"gift_11","gift",11,74,1
"TIMETIME.002","Ganong",1,2,20,"gift_09","gift",9,61,1
"TIMETIME.002","Ganong",1,2,21,"gift_07","gift",7,49,0
"TIMETIME.002","Ganong",1,2,22,"giss_10","giss",10,68,1
"TIMETIME.002","Ganong",1,2,23,"gift_10","gift",10,68,1
"TIMETIME.002","Ganong",1,2,24,"gift_06","gift",6,42,0
"TIMETIME.002","Ganong",1,2,25,"giss_06","giss",6,42,0
"TIMETIME.002","Ganong",1,2,26,"giss_07","giss",7,49,1
"TIMETIME.002","Ganong",1,2,27,"gift_08","gift",8,55,0
"TIMETIME.002","Ganong",1,2,28,"giss_04","giss",4,29,0
"TIMETIME.002","Ganong",1,2,29,"gift_04","gift",4,29,0
"TIMETIME.002","Ganong",1,2,30,"gift_05","gift",5,36,0
"TIMETIME.002","Ganong",1,2,31,"giss_09","giss",9,61,1
"TIMETIME.002","Ganong",1,2,32,"giss_08","giss",8,55,1
"TIMETIME.002","Ganong",1,2,33,"gift_04","gift",4,29,0
"TIMETIME.002","Ganong",1,2,34,"giss_08","giss",8,55,1
"TIMETIME.002","Ganong",1,2,35,"giss_06","giss",6,42,1
"TIMETIME.002","Ganong",1,2,36,"giss_05","giss",5,36,0
"TIMETIME.002","Ganong",1,2,37,"giss_07","giss",7,49,1
"TIMETIME.002","Ganong",1,2,38,"gift_06","gift",6,42,0
"TIMETIME.002","Ganong",1,2,39,"gift_11","gift",11,74,0
"TIMETIME.002","Ganong",1,2,40,"gift_08","gift",8,55,0
"TIMETIME.002","Ganong",1,2,41,"giss_04","giss",4,29,0
"TIMETIME.002","Ganong",1,2,42,"gift_07","gift",7,49,0
"TIMETIME.002","Ganong",1,2,43,"gift_10","gift",10,68,1
"TIMETIME.002","Ganong",1,2,44,"gift_09","gift",9,61,1
