"ID","Task","Session","N.Sessions","Counterbalance","Trial","Stimulus.1","Stimulus.2","Structure","Reversal","Response"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",31,"re_60_M_s_w_particular_70","F_s_w_particular_70","WW",60,"Same"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",32,"re_60_M_s_nw_interrupted_70","F_s_w_interrupted_70","NW",60,"Different"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",33,"re_40_M_s_nw_nobody_70","F_s_nw_nobody_70","NN",40,"Same"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",34,"re_60_M_s_nw_identical_70","F_s_nw_identical_70","NN",60,"Same"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",35,"re_60_M_s_w_identical_70","F_s_w_identical_70","WW",60,"Different"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",36,"re_60_M_s_nw_decorated_70","F_s_w_decorated_70","NW",60,"Same"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",37,"re_60_M_s_w_documentary_70","F_s_nw_documentary_70","WN",60,"Different"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",38,"re_60_M_s_w_satisfactory_70","F_s_nw_satisfactory_70","WN",60,"Different"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",39,"re_60_M_s_w_interrupted_70","F_s_w_interrupted_70","WW",60,"Same"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",40,"re_40_M_s_w_nobody_70","F_s_w_nobody_70","WW",40,"Same"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",41,"re_60_M_s_w_category_70","F_s_nw_category_70","WN",60,"Different"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",42,"re_60_M_s_w_appointment_70","F_s_w_appointment_70","WW",60,"Same"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",43,"re_40_M_s_nw_certificate_70","F_s_w_certificate_70","NW",40,"Different"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",44,"re_60_M_s_w_establishment_70","F_s_w_establishment_70","WW",60,"Same"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",45,"re_40_M_s_nw_understandable_70","F_s_nw_understandable_70","NN",40,"Same"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",46,"re_60_M_s_w_establishment_70","F_s_nw_establishment_70","WN",60,"Different"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",47,"re_40_M_s_nw_remarkable_70","F_s_w_remarkable_70","NW",40,"Different"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",48,"re_40_M_s_nw_incapable_70","F_s_nw_incapable_70","NN",40,"Same"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",49,"re_40_M_s_w_capacity_70","F_s_nw_capacity_70","WN",40,"Different"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",50,"re_40_M_s_w_understandable_70","F_s_nw_understandable_70","WN",40,"Different"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",51,"re_60_M_s_w_category_70","F_s_w_category_70","WW",60,"Same"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",52,"re_40_M_s_nw_predicament_70","F_s_w_predicament_70","NW",40,"Same"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",53,"re_60_M_s_nw_identical_70","F_s_w_identical_70","NW",60,"Same"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",54,"re_60_M_s_nw_establishment_70","F_s_nw_establishment_70","NN",60,"Different"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",55,"re_60_M_s_nw_satisfactory_70","F_s_nw_satisfactory_70","NN",60,"Different"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",56,"re_60_M_s_nw_appointment_70","F_s_w_appointment_70","NW",60,"Different"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",57,"re_60_M_s_w_competition_70","F_s_w_competition_70","WW",60,"Same"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",58,"re_60_M_s_nw_particular_70","F_s_w_particular_70","NW",60,"Different"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",59,"re_60_M_s_w_academic_70","F_s_nw_academic_70","WN",60,"Same"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",60,"re_40_M_s_w_department_70","F_s_w_department_70","WW",40,"Same"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",61,"re_60_M_s_nw_category_70","F_s_nw_category_70","NN",60,"Same"
